id,username,acct,instance,author_id
109943998075149298,salvomic,salvomic@flipboard.social,techhub.social,7
115177064537977160,trending,trending@mastodon.neometropolis.net,techhub.social,7
109276322009203182,krnlg,krnlg@mastodon.social,techhub.social,7
110049428772679358,the_etrain,the_etrain@beige.party,techhub.social,7
108878332054125557,biscuitcats,biscuitcats@mastodon.social,techhub.social,7
109315666845720657,Vibracobra23,Vibracobra23@mastodon.social,techhub.social,7
111653214144619074,photography,photography@newsmast.community,techhub.social,7
111653346454896261,socialmedia,socialmedia@newsmast.community,techhub.social,7
113816220958044197,jaycee-visionlogic.bsky.social,jaycee-visionlogic.bsky.social@bsky.brid.gy,mas.to,8
113400218820349446,GroupNebula563,GroupNebula563@mastodon.social,mas.to,8
109846329989740185,zpeteris,zpeteris@lgbtqia.space,mas.to,8
111117624181358934,HelloIt_sMe45,HelloIt_sMe45@lgbtqia.space,mas.to,8
115185625226823492,EcoBagger2,EcoBagger2@mstdn.party,mas.to,8
109315414211371794,AllwissendeMuellhalde,AllwissendeMuellhalde@norden.social,mas.to,8
109401490957349164,popularposts,popularposts@masto.ai,mas.to,8
114186358629549861,tothdaniel,tothdaniel@vivaldi.net,mas.to,8
857,jaz,jaz@toot.wales,mas.to,8
109337139028718836,ethniccanuck,ethniccanuck@ohai.social,mas.to,8
113945982571060875,samael,samael@filmly.co.ua,mas.to,8
114150007987213194,hypebot,hypebot@chrispelli.fun,mas.to,8
109944502383955475,salvomic,salvomic@flipboard.social,mas.to,8
110933464056246584,hypebot,hypebot@tldr.nettime.org,mas.to,8
109614491462559106,kekavigi,kekavigi,mas.to,8
108276355011286901,icg937,icg937@mstdn.social,mas.to,8
111275287336492911,nachbarschaft,nachbarschaft@pnpde.social,mas.to,8
113448052627766169,hype,hype@social.ookami.space,mas.to,8
111713217456672811,ai,ai@fedifriends.social,mas.to,8
3124,ranx,ranx@mastodon.social,mas.to,8
109163970922041646,Binder,Binder@petrous.vislae.town,mas.to,8
114797063396649354,trendingboost,trendingboost@homestead.social,mas.to,8
113838784481243114,trending_bot,trending_bot@pataterie.ca,mas.to,8
111153797030062425,hype,hype@keks.club,mas.to,8
109274243218155457,mvsde,mvsde@mastodon.social,mas.to,8
111619557591117095,trending_bot,trending_bot@tomkahe.com,mas.to,8
109291935224748905,LucillaPiccari,LucillaPiccari@med-mastodon.com,mas.to,8
110053927397111488,trendytoots,trendytoots@mastodon.social,mas.to,8
109271504058897996,roytoo,roytoo@mstdn.social,mas.to,8
113460768671072902,hypeBot,hypeBot@cultur.social,mas.to,8
115155472223124755,trending,trending@mastodon.neometropolis.net,mas.to,8
112065864346928560,hype,hype@social.ketupat.me,mas.to,8
108249727145090207,ufal,ufal@misskey.id,mas.to,8
109500013640386496,jimcalameda,jimcalameda@sfba.social,mas.to,8
111764164651049378,tsturm,tsturm@famichiki.jp,mas.to,8
108878330754575780,biscuitcats,biscuitcats@mastodon.social,mas.to,8
27500,Kalpar,Kalpar@mastodon.social,mas.to,8
111653470957455589,photography,photography@newsmast.community,mas.to,8
111654443121567689,socialmedia,socialmedia@newsmast.community,mas.to,8
109803985888695910,msbw,msbw@masto.ai,kolektiva.social,4
109303960002982143,oldoldcojote,oldoldcojote@climatejustice.social,kolektiva.social,4
113295782323143164,JigmeDatse,JigmeDatse@social.openpsychology.net,kolektiva.social,4
109315671386745732,jpsays,jpsays@mastodon.social,kolektiva.social,4
109378250770084422,solownh,solownh@mstdn.party,kolektiva.social,4
109418978832837016,deepmud,deepmud@mas.to,kolektiva.social,4
109322053689710463,moira,moira@mastodon.murkworks.net,kolektiva.social,4
109362277512236278,Npars01,Npars01@mstdn.social,kolektiva.social,4
114262002366042508,Jdb_env,Jdb_env@mastodon.social,kolektiva.social,4
113654525921239935,Antisap,Antisap,kolektiva.social,4
115314548799429764,noescape_vg,noescape_vg,kolektiva.social,4
115014444428517886,grimacing,grimacing@luzeed.org,kolektiva.social,4
113534089261809119,burnoutqueen,burnoutqueen@todon.nl,kolektiva.social,4
113908216688780189,burnitdown,burnitdown@beige.party,kolektiva.social,4
109303988005690477,0x00string,0x00string@infosec.exchange,kolektiva.social,4
110944613821664263,arrrg,arrrg,kolektiva.social,4
110074846454146611,Smallwork,Smallwork@stranger.social,kolektiva.social,4
4,igd_news,igd_news,kolektiva.social,4
109244892465311775,cthon1c,cthon1c,kolektiva.social,4
109616439707434871,obot50549535,obot50549535@left-tusk.com,kolektiva.social,4
109304902362205159,aprilfollies,aprilfollies@mastodon.online,kolektiva.social,4
109280944707980332,jeromio,jeromio@triangletoot.party,kolektiva.social,4
113357640136717216,triplingual,triplingual@code4lib.social,kolektiva.social,4
113863594069777813,faraiwe,faraiwe@mstdn.social,kolektiva.social,4
109465092159336041,fkaOctaviaKeats,fkaOctaviaKeats@wandering.shop,kolektiva.social,4
112844462755494319,vruz,vruz@mstdn.social,kolektiva.social,4
111187650495000172,steter,steter@mastodon.stevesworld.co,kolektiva.social,4
114213709577200886,DeeLux_Fiat,DeeLux_Fiat@todon.nl,kolektiva.social,4
6989,ND3JR,ND3JR@social.coop,kolektiva.social,4
109374482586336772,pr06lefs,pr06lefs@mastodon.social,kolektiva.social,4
109594190815238181,BegoniaArizona,BegoniaArizona@montereybay.social,kolektiva.social,4
109494943174585673,carollei44,carollei44@newsie.social,kolektiva.social,4
113816220958044197,jaycee-visionlogic.bsky.social,jaycee-visionlogic.bsky.social@bsky.brid.gy,mas.to,8
113400218820349446,GroupNebula563,GroupNebula563@mastodon.social,mas.to,8
109383132002867497,ncw413,ncw413@mastodon.social,mas.to,8
110413856299131952,yourwaitress,yourwaitress@mastodon.social,mas.to,8
109355822828865391,guayabito,guayabito@mastodon.cr,mas.to,8
109780039292748121,lhk,lhk@weatherishappening.network,mas.to,8
113894799293524010,NellytheWillow,NellytheWillow@mastodon.social,mas.to,8
109313047863905898,CazimodoCreative,CazimodoCreative@universeodon.com,mas.to,8
111275287336492911,nachbarschaft,nachbarschaft@pnpde.social,mas.to,8
109378030340501892,mtothevizzah,mtothevizzah@mastodon.gamedev.place,mas.to,8
110933464056246584,hypebot,hypebot@tldr.nettime.org,mas.to,8
113716059717867959,Guillotine_Jones,Guillotine_Jones@beige.party,mas.to,8
109331908089740207,philcolbourn,philcolbourn,mas.to,8
111619557591117095,trending_bot,trending_bot@tomkahe.com,mas.to,8
113078,jon,jon@henshaw.social,mas.to,8
109378886609501655,Fnoop,Fnoop@mastodonapp.uk,mas.to,8
111117624181358934,HelloIt_sMe45,HelloIt_sMe45@lgbtqia.space,mas.to,8
109305070567517790,TheTiredHiker,TheTiredHiker@toot.community,mas.to,8
109395581784769552,canayjun,canayjun@mstdn.social,mas.to,8
112065864346928560,hype,hype@social.ketupat.me,mas.to,8
114150007987213194,hypebot,hypebot@chrispelli.fun,mas.to,8
113838784675387698,em_and_future_cats,em_and_future_cats@mastodon.social,mas.to,8
113838784481243114,trending_bot,trending_bot@pataterie.ca,mas.to,8
109316993769225768,MarvinFreeman,MarvinFreeman@mastodon.online,mas.to,8
108205427114199025,grb090423,grb090423@mastodon.social,mas.to,8
113495017515228637,DarthAstrius,DarthAstrius@mastodon.social,mas.to,8
108195643844413316,Lazarou,Lazarou@mastodon.social,mas.to,8
111713217456672811,ai,ai@fedifriends.social,mas.to,8
113448052627766169,hype,hype@social.ookami.space,mas.to,8
113460768671072902,hypeBot,hypeBot@cultur.social,mas.to,8
110053927397111488,trendytoots,trendytoots@mastodon.social,mas.to,8
114797063396649354,trendingboost,trendingboost@homestead.social,mas.to,8
109944502383955475,salvomic,salvomic@flipboard.social,mas.to,8
109536702327690444,Theosoreass,Theosoreass@ieji.de,mas.to,8
115155472223124755,trending,trending@mastodon.neometropolis.net,mas.to,8
108194613266616590,krnlg,krnlg@mastodon.social,mas.to,8
109495698916518569,craiglee,craiglee@c.im,mas.to,8
110049428333892187,the_etrain,the_etrain@beige.party,mas.to,8
108878330754575780,biscuitcats,biscuitcats@mastodon.social,mas.to,8
109303820328280634,Vibracobra23,Vibracobra23@mastodon.social,mas.to,8
111653470957455589,photography,photography@newsmast.community,mas.to,8
111654443121567689,socialmedia,socialmedia@newsmast.community,mas.to,8
